-181.837, 75.607, 1.673,  3.712
-181.827, 75.552, 1.678,  3.745
-181.817, 75.496, 1.683,  3.778
-181.808, 75.441, 1.688,  3.811
-181.798, 75.385, 1.694,  3.844
-181.789, 75.329, 1.699,  3.877
-181.780, 75.272, 1.704,  3.910
-181.771, 75.216, 1.709,  3.943
-181.762, 75.159, 1.715,  3.976
-181.753, 75.102, 1.720,  4.009
-181.745, 75.045, 1.725,  4.042
-181.736, 74.988, 1.731,  4.075
-181.728, 74.931, 1.736,  4.108
-181.720, 74.873, 1.741,  4.141
-181.712, 74.815, 1.747,  4.174
-181.704, 74.757, 1.752,  4.207
-181.697, 74.699, 1.758,  4.240
-181.689, 74.640, 1.763,  4.273
-181.682, 74.582, 1.768,  4.306
-181.675, 74.523, 1.774,  4.339
-181.668, 74.464, 1.779,  4.372
-181.661, 74.405, 1.785,  4.405
-181.654, 74.345, 1.790,  4.438
-181.647, 74.286, 1.796,  4.471
-181.641, 74.226, 1.801,  4.504
-181.634, 74.166, 1.807,  4.537
-181.628, 74.105, 1.812,  4.570
-181.622, 74.045, 1.818,  4.603
-181.616, 73.984, 1.823,  4.636
-181.610, 73.924, 1.829,  4.669
-181.604, 73.863, 1.835,  4.702
-181.599, 73.801, 1.840,  4.735
-181.593, 73.740, 1.846,  4.768
-181.588, 73.678, 1.852,  4.801
-181.582, 73.617, 1.858,  4.834
-181.577, 73.555, 1.863,  4.867
-181.572, 73.493, 1.869,  4.900
-181.567, 73.430, 1.875,  4.933
-181.562, 73.368, 1.880,  4.966
-181.557, 73.305, 1.886,  4.999
-181.553, 73.242, 1.892,  5.032
-181.548, 73.179, 1.898,  5.065
-181.544, 73.115, 1.904,  5.098
-181.539, 73.052, 1.909,  5.131
-181.535, 72.988, 1.915,  5.164
-181.531, 72.924, 1.921,  5.197
-181.527, 72.860, 1.927,  5.230
-181.523, 72.796, 1.933,  5.263
-181.519, 72.731, 1.939,  5.296
-181.515, 72.666, 1.945,  5.329
-181.511, 72.601, 1.951,  5.362
-181.508, 72.536, 1.957,  5.395
-181.504, 72.471, 1.963,  5.428
-181.501, 72.405, 1.969,  5.461
-181.497, 72.339, 1.975,  5.494
-181.494, 72.273, 1.981,  5.527
-181.491, 72.207, 1.987,  5.560
-181.487, 72.141, 1.993,  5.593
-181.484, 72.074, 1.999,  5.626
-181.481, 72.007, 2.006,  5.659
-181.478, 71.940, 2.012,  5.692
-181.476, 71.873, 2.018,  5.725
-181.473, 71.806, 2.024,  5.758
-181.470, 71.738, 2.030,  5.791
-181.467, 71.670, 2.037,  5.824
-181.465, 71.602, 2.043,  5.857
-181.462, 71.534, 2.049,  5.890
-181.460, 71.465, 2.055,  5.923
-181.457, 71.397, 2.062,  5.956
-181.455, 71.328, 2.068,  5.989
-181.453, 71.259, 2.074,  6.022
-181.450, 71.189, 2.081,  6.055
-181.448, 71.120, 2.087,  6.088
-181.446, 71.050, 2.094,  6.121
-181.444, 70.980, 2.100,  6.154
-181.442, 70.910, 2.107,  6.187
-181.440, 70.840, 2.113,  6.220
-181.438, 70.769, 2.120,  6.253
-181.436, 70.698, 2.126,  6.286
-181.434, 70.627, 2.133,  6.319
-181.433, 70.556, 2.139,  6.352
-181.431, 70.484, 2.146,  6.385
-181.429, 70.413, 2.152,  6.418
-181.428, 70.341, 2.159,  6.451
-181.426, 70.269, 2.165,  6.484
-181.424, 70.196, 2.172,  6.517
-181.423, 70.124, 2.179,  6.550
-181.421, 70.051, 2.185,  6.583
-181.420, 69.978, 2.192,  6.616
-181.419, 69.905, 2.199,  6.649
-181.417, 69.831, 2.206,  6.682
-181.416, 69.758, 2.212,  6.715
-181.415, 69.684, 2.219,  6.748
-181.414, 69.610, 2.226,  6.781
-181.412, 69.535, 2.233,  6.814
-181.411, 69.461, 2.240,  6.847
-181.410, 69.386, 2.246,  6.880
-181.409, 69.311, 2.253,  6.913
-181.408, 69.235, 2.260,  6.946
-181.407, 69.160, 2.267,  6.979
-181.406, 69.084, 2.274,  7.012
-181.405, 69.008, 2.281,  7.045
-181.404, 68.932, 2.288,  7.078
-181.403, 68.855, 2.295,  7.111
-181.402, 68.779, 2.302,  7.144
-181.401, 68.702, 2.309,  7.177
-181.400, 68.625, 2.316,  7.210
-181.400, 68.547, 2.323,  7.243
-181.399, 68.470, 2.330,  7.276
-181.398, 68.392, 2.337,  7.309
-181.397, 68.314, 2.344,  7.342
-181.397, 68.235, 2.352,  7.375
-181.396, 68.157, 2.359,  7.408
-181.395, 68.078, 2.366,  7.441
-181.395, 67.999, 2.373,  7.474
-181.394, 67.920, 2.380,  7.507
-181.394, 67.840, 2.388,  7.540
-181.393, 67.760, 2.395,  7.573
